"Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Annual Survey of School System Finance","Alabama","2015","LST","Revenue from local sources Total (%)","State and Local ","33.7"
"Annual Survey of School System Finance","Alabama","2016","LST","Revenue from local sources Total (%)","State and Local ","34.9"
"Annual Survey of School System Finance","Alabama","2017","LST","Revenue from local sources Total (%)","State and Local ","34.7"
"Annual Survey of School System Finance","Alabama","2018","LST","Revenue from local sources Total (%)","State and Local ","34.6"
"Annual Survey of School System Finance","Alabama","2012","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","16.0"
"Annual Survey of School System Finance","Alabama","2013","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","16.2"
"Annual Survey of School System Finance","Alabama","2014","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","15.9"
"Annual Survey of School System Finance","Alabama","2015","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","16.0"
"Annual Survey of School System Finance","Alabama","2016","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","16.2"
"Annual Survey of School System Finance","Alabama","2017","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","15.5"
"Annual Survey of School System Finance","Alabama","2018","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","15.5"
"Annual Survey of School System Finance","Alabama","2012","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","45.8"
"Annual Survey of School System Finance","Alabama","2013","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","45.9"
"Annual Survey of School System Finance","Alabama","2014","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","45.4"
"Annual Survey of School System Finance","Alabama","2015","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","46.2"
"Annual Survey of School System Finance","Alabama","2016","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","45.5"
"Annual Survey of School System Finance","Alabama","2017","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","46.0"
"Annual Survey of School System Finance","Alabama","2018","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","45.3"
"Annual Survey of School System Finance","Alabama","2012","SST","Revenue from state sources Total (%)","State and Local ","55.3"
"Annual Survey of School System Finance","Alabama","2013","SST","Revenue from state sources Total (%)","State and Local ","54.5"
"Annual Survey of School System Finance","Alabama","2014","SST","Revenue from state sources Total (%)","State and Local ","54.8"
"Annual Survey of School System Finance","Alabama","2015","SST","Revenue from state sources Total (%)","State and Local ","55.4"
"Annual Survey of School System Finance","Alabama","2016","SST","Revenue from state sources Total (%)","State and Local ","54.5"
"Annual Survey of School System Finance","Alabama","2017","SST","Revenue from state sources Total (%)","State and Local ","55.0"
"Annual Survey of School System Finance","Alabama","2018","SST","Revenue from state sources Total (%)","State and Local ","54.9"
"Annual Survey of School System Finance","Alabama","2012","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Alabama","2013","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Alabama","2014","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Alabama","2015","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Alabama","2016","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Alabama","2017","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Alabama","2018","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Alaska","2012","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","2.0"
"Annual Survey of School System Finance","Alaska","2013","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","1.8"
"Annual Survey of School System Finance","Alaska","2014","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","1.7"
"Annual Survey of School System Finance","Alaska","2015","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","1.6"
"Annual Survey of School System Finance","Alaska","2016","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","1.8"
"Annual Survey of School System Finance","Alaska","2017","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","1.8"
"Annual Survey of School System Finance","Alaska","2018","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","2.1"
"Annual Survey of School System Finance","Alaska","2012","FST","Revenue from federal sources Total (%)","State and Local ","14.8"
"Annual Survey of School System Finance","Alaska","2013","FST","Revenue from federal sources Total (%)","State and Local ","12.6"
"Annual Survey of School System Finance","Alaska","2014","FST","Revenue from federal sources Total (%)","State and Local ","11.6"
"Annual Survey of School System Finance","Alaska","2015","FST","Revenue from federal sources Total (%)","State and Local ","11.8"
"Annual Survey of School System Finance","Alaska","2016","FST","Revenue from federal sources Total (%)","State and Local ","12.3"
"Annual Survey of School System Finance","Alaska","2017","FST","Revenue from federal sources Total (%)","State and Local ","14.0"
"Annual Survey of School System Finance","Alaska","2018","FST","Revenue from federal sources Total (%)","State and Local ","15.8"
"Annual Survey of School System Finance","Alaska","2012","LSCT","Revenue from local sources Charges (%)","State and Local ","1.3"
"Annual Survey of School System Finance","Alaska","2013","LSCT","Revenue from local sources Charges (%)","State and Local ","1.1"
"Annual Survey of School System Finance","Alaska","2014","LSCT","Revenue from local sources Charges (%)","State and Local ","1.1"
"Annual Survey of School System Finance","Alaska","2015","LSCT","Revenue from local sources Charges (%)","State and Local ","1.0"
"Annual Survey of School System Finance","Alaska","2016","LSCT","Revenue from local sources Charges (%)","State and Local ","1.2"
"Annual Survey of School System Finance","Alaska","2017","LSCT","Revenue from local sources Charges (%)","State and Local ","1.2"
"Annual Survey of School System Finance","Alaska","2018","LSCT","Revenue from local sources Charges (%)","State and Local ","1.1"
"Annual Survey of School System Finance","Alaska","2012","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.0"
"Annual Survey of School System Finance","Alaska","2013","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.0"
"Annual Survey of School System Finance","Alaska","2014","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.0"
"Annual Survey of School System Finance","Alaska","2015","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.0"
"Annual Survey of School System Finance","Alaska","2016","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.0"
"Annual Survey of School System Finance","Alaska","2017","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.0"
"Annual Survey of School System Finance","Alaska","2018","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.0"
"Annual Survey of School System Finance","Alaska","2012","LST","Revenue from local sources Total (%)","State and Local ","22.0"
"Annual Survey of School System Finance","Alaska","2013","LST","Revenue from local sources Total (%)","State and Local ","20.3"
"Annual Survey of School System Finance","Alaska","2014","LST","Revenue from local sources Total (%)","State and Local ","19.9"
"Annual Survey of School System Finance","Alaska","2015","LST","Revenue from local sources Total (%)","State and Local ","18.8"
"Annual Survey of School System Finance","Alaska","2016","LST","Revenue from local sources Total (%)","State and Local ","23.0"
"Annual Survey of School System Finance","Alaska","2017","LST","Revenue from local sources Total (%)","State and Local ","22.1"
"Annual Survey of School System Finance","Alaska","2018","LST","Revenue from local sources Total (%)","State and Local ","21.7"
"Annual Survey of School System Finance","Alaska","2012","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","19.4"
"Annual Survey of School System Finance","Alaska","2013","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","18.2"
"Annual Survey of School System Finance","Alaska","2014","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","17.1"
"Annual Survey of School System Finance","Alaska","2015","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","16.5"
"Annual Survey of School System Finance","Alaska","2016","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","19.6"
"Annual Survey of School System Finance","Alaska","2017","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","19.8"
"Annual Survey of School System Finance","Alaska","2018","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","19.7"
"Annual Survey of School System Finance","Alaska","2012","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","46.2"
"Annual Survey of School System Finance","Alaska","2013","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","45.3"
"Annual Survey of School System Finance","Alaska","2014","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","43.5"
"Annual Survey of School System Finance","Alaska","2015","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","41.4"
"Annual Survey of School System Finance","Alaska","2016","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","47.7"
"Annual Survey of School System Finance","Alaska","2017","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","48.5"
"Annual Survey of School System Finance","Alaska","2018","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","47.6"
"Annual Survey of School System Finance","Alaska","2012","SST","Revenue from state sources Total (%)","State and Local ","63.3"
"Annual Survey of School System Finance","Alaska","2013","SST","Revenue from state sources Total (%)","State and Local ","67.1"
"Annual Survey of School System Finance","Alaska","2014","SST","Revenue from state sources Total (%)","State and Local ","68.5"
"Annual Survey of School System Finance","Alaska","2015","SST","Revenue from state sources Total (%)","State and Local ","69.4"
"Annual Survey of School System Finance","Alaska","2016","SST","Revenue from state sources Total (%)","State and Local ","64.7"
"Annual Survey of School System Finance","Alaska","2017","SST","Revenue from state sources Total (%)","State and Local ","63.9"
"Annual Survey of School System Finance","Alaska","2018","SST","Revenue from state sources Total (%)","State and Local ","62.5"
"Annual Survey of School System Finance","Alaska","2012","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Alaska","2013","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Alaska","2014","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Alaska","2015","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Alaska","2016","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Alaska","2017","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Alaska","2018","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Arizona","2012","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","3.9"
"Annual Survey of School System Finance","Arizona","2013","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","4.0"
"Annual Survey of School System Finance","Arizona","2014","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","3.6"
"Annual Survey of School System Finance","Arizona","2015","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","3.7"
"Annual Survey of School System Finance","Arizona","2016","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","3.6"
"Annual Survey of School System Finance","Arizona","2017","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","3.4"
"Annual Survey of School System Finance","Arizona","2018","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","3.2"
"Annual Survey of School System Finance","Arizona","2012","FST","Revenue from federal sources Total (%)","State and Local ","13.3"
"Annual Survey of School System Finance","Arizona","2013","FST","Revenue from federal sources Total (%)","State and Local ","14.6"
"Annual Survey of School System Finance","Arizona","2014","FST","Revenue from federal sources Total (%)","State and Local ","13.3"
"Annual Survey of School System Finance","Arizona","2015","FST","Revenue from federal sources Total (%)","State and Local ","13.4"
"Annual Survey of School System Finance","Arizona","2016","FST","Revenue from federal sources Total (%)","State and Local ","13.8"
"Annual Survey of School System Finance","Arizona","2017","FST","Revenue from federal sources Total (%)","State and Local ","13.7"
"Annual Survey of School System Finance","Arizona","2018","FST","Revenue from federal sources Total (%)","State and Local ","13.2"
"Annual Survey of School System Finance","Arizona","2012","LSCT","Revenue from local sources Charges (%)","State and Local ","3.0"
"Annual Survey of School System Finance","Arizona","2013","LSCT","Revenue from local sources Charges (%)","State and Local ","2.8"
"Annual Survey of School System Finance","Arizona","2014","LSCT","Revenue from local sources Charges (%)","State and Local ","2.7"
"Annual Survey of School System Finance","Arizona","2015","LSCT","Revenue from local sources Charges (%)","State and Local ","2.6"
"Annual Survey of School System Finance","Arizona","2016","LSCT","Revenue from local sources Charges (%)","State and Local ","2.5"
"Annual Survey of School System Finance","Arizona","2017","LSCT","Revenue from local sources Charges (%)","State and Local ","2.6"
"Annual Survey of School System Finance","Arizona","2018","LSCT","Revenue from local sources Charges (%)","State and Local ","2.6"
"Annual Survey of School System Finance","Arizona","2012","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","3.7"
"Annual Survey of School System Finance","Arizona","2013","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","3.6"
"Annual Survey of School System Finance","Arizona","2014","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","3.6"
"Annual Survey of School System Finance","Arizona","2015","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","3.5"
"Annual Survey of School System Finance","Arizona","2016","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","3.4"
"Annual Survey of School System Finance","Arizona","2017","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","3.4"
"Annual Survey of School System Finance","Arizona","2018","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","3.3"
"Annual Survey of School System Finance","Arizona","2012","LST","Revenue from local sources Total (%)","State and Local ","50.5"
"Annual Survey of School System Finance","Arizona","2013","LST","Revenue from local sources Total (%)","State and Local ","49.2"
"Annual Survey of School System Finance","Arizona","2014","LST","Revenue from local sources Total (%)","State and Local ","48.3"
"Annual Survey of School System Finance","Arizona","2015","LST","Revenue from local sources Total (%)","State and Local ","47.0"
"Annual Survey of School System Finance","Arizona","2016","LST","Revenue from local sources Total (%)","State and Local ","45.4"
"Annual Survey of School System Finance","Arizona","2017","LST","Revenue from local sources Total (%)","State and Local ","46.2"
"Annual Survey of School System Finance","Arizona","2018","LST","Revenue from local sources Total (%)","State and Local ","46.4"
"Annual Survey of School System Finance","Arizona","2012","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","38.3"
"Annual Survey of School System Finance","Arizona","2013","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","37.3"
"Annual Survey of School System Finance","Arizona","2014","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","36.0"
"Annual Survey of School System Finance","Arizona","2015","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","37.5"
"Annual Survey of School System Finance","Arizona","2016","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","36.2"
"Annual Survey of School System Finance","Arizona","2017","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","37.0"
"Annual Survey of School System Finance","Arizona","2018","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","37.1"
"Annual Survey of School System Finance","Arizona","2012","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","35.2"
"Annual Survey of School System Finance","Arizona","2013","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","35.2"
"Annual Survey of School System Finance","Arizona","2014","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","37.4"
"Annual Survey of School System Finance","Arizona","2015","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","38.7"
"Annual Survey of School System Finance","Arizona","2016","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","39.6"
"Annual Survey of School System Finance","Arizona","2017","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","38.9"
"Annual Survey of School System Finance","Arizona","2018","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","38.9"
"Annual Survey of School System Finance","Arizona","2012","SST","Revenue from state sources Total (%)","State and Local ","36.2"
"Annual Survey of School System Finance","Arizona","2013","SST","Revenue from state sources Total (%)","State and Local ","36.2"
"Annual Survey of School System Finance","Arizona","2014","SST","Revenue from state sources Total (%)","State and Local ","38.4"
"Annual Survey of School System Finance","Arizona","2015","SST","Revenue from state sources Total (%)","State and Local ","39.6"
"Annual Survey of School System Finance","Arizona","2016","SST","Revenue from state sources Total (%)","State and Local ","40.8"
"Annual Survey of School System Finance","Arizona","2017","SST","Revenue from state sources Total (%)","State and Local ","40.1"
"Annual Survey of School System Finance","Arizona","2018","SST","Revenue from state sources Total (%)","State and Local ","40.4"
"Annual Survey of School System Finance","Arizona","2012","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Arizona","2013","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Arizona","2014","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Arizona","2015","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Arizona","2016","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Arizona","2017","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Arizona","2018","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Arkansas","2012","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","3.5"
"Annual Survey of School System Finance","Arkansas","2013","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","3.2"
"Annual Survey of School System Finance","Arkansas","2014","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","3.0"
"Annual Survey of School System Finance","Arkansas","2015","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","3.1"
"Annual Survey of School System Finance","Arkansas","2016","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","2.9"
"Annual Survey of School System Finance","Arkansas","2017","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","2.9"
"Annual Survey of School System Finance","Arkansas","2018","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","2.8"
"Annual Survey of School System Finance","Arkansas","2012","FST","Revenue from federal sources Total (%)","State and Local ","12.9"
"Annual Survey of School System Finance","Arkansas","2013","FST","Revenue from federal sources Total (%)","State and Local ","11.3"
"Annual Survey of School System Finance","Arkansas","2014","FST","Revenue from federal sources Total (%)","State and Local ","10.7"
"Annual Survey of School System Finance","Arkansas","2015","FST","Revenue from federal sources Total (%)","State and Local ","11.0"
"Annual Survey of School System Finance","Arkansas","2016","FST","Revenue from federal sources Total (%)","State and Local ","11.0"
"Annual Survey of School System Finance","Arkansas","2017","FST","Revenue from federal sources Total (%)","State and Local ","10.9"
"Annual Survey of School System Finance","Arkansas","2018","FST","Revenue from federal sources Total (%)","State and Local ","10.6"
"Annual Survey of School System Finance","Arkansas","2012","LSCT","Revenue from local sources Charges (%)","State and Local ","2.9"
"Annual Survey of School System Finance","Arkansas","2013","LSCT","Revenue from local sources Charges (%)","State and Local ","3.0"
"Annual Survey of School System Finance","Arkansas","2014","LSCT","Revenue from local sources Charges (%)","State and Local ","3.0"
"Annual Survey of School System Finance","Arkansas","2015","LSCT","Revenue from local sources Charges (%)","State and Local ","2.9"
"Annual Survey of School System Finance","Arkansas","2016","LSCT","Revenue from local sources Charges (%)","State and Local ","2.9"
"Annual Survey of School System Finance","Arkansas","2017","LSCT","Revenue from local sources Charges (%)","State and Local ","2.9"
"Annual Survey of School System Finance","Arkansas","2018","LSCT","Revenue from local sources Charges (%)","State and Local ","2.9"
"Annual Survey of School System Finance","Arkansas","2012","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.2"
"Annual Survey of School System Finance","Arkansas","2013","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.2"
"Annual Survey of School System Finance","Arkansas","2014","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.3"
"Annual Survey of School System Finance","Arkansas","2015","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.2"
"Annual Survey of School System Finance","Arkansas","2016","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.2"
"Annual Survey of School System Finance","Arkansas","2017","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.2"
"Annual Survey of School System Finance","Arkansas","2018","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.2"
"Annual Survey of School System Finance","Arkansas","2012","LST","Revenue from local sources Total (%)","State and Local ","12.9"
"Annual Survey of School System Finance","Arkansas","2013","LST","Revenue from local sources Total (%)","State and Local ","12.5"
"Annual Survey of School System Finance","Arkansas","2014","LST","Revenue from local sources Total (%)","State and Local ","11.9"
"Annual Survey of School System Finance","Arkansas","2015","LST","Revenue from local sources Total (%)","State and Local ","12.0"
"Annual Survey of School System Finance","Arkansas","2016","LST","Revenue from local sources Total (%)","State and Local ","12.4"
"Annual Survey of School System Finance","Arkansas","2017","LST","Revenue from local sources Total (%)","State and Local ","13.3"
"Annual Survey of School System Finance","Arkansas","2018","LST","Revenue from local sources Total (%)","State and Local ","13.4"
"Annual Survey of School System Finance","Arkansas","2012","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","8.2"
"Annual Survey of School System Finance","Arkansas","2013","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","7.9"
"Annual Survey of School System Finance","Arkansas","2014","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","7.0"
"Annual Survey of School System Finance","Arkansas","2015","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","7.4"
"Annual Survey of School System Finance","Arkansas","2016","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","7.5"
"Annual Survey of School System Finance","Arkansas","2017","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","8.2"
"Annual Survey of School System Finance","Arkansas","2018","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","8.4"
"Annual Survey of School System Finance","Arkansas","2012","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","36.4"
"Annual Survey of School System Finance","Arkansas","2013","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","37.7"
"Annual Survey of School System Finance","Arkansas","2014","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","37.7"
"Annual Survey of School System Finance","Arkansas","2015","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","37.5"
"Annual Survey of School System Finance","Arkansas","2016","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","36.9"
"Annual Survey of School System Finance","Arkansas","2017","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","36.5"
"Annual Survey of School System Finance","Arkansas","2018","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","35.9"
"Annual Survey of School System Finance","Arkansas","2012","SST","Revenue from state sources Total (%)","State and Local ","74.2"
"Annual Survey of School System Finance","Arkansas","2013","SST","Revenue from state sources Total (%)","State and Local ","76.2"
"Annual Survey of School System Finance","Arkansas","2014","SST","Revenue from state sources Total (%)","State and Local ","77.4"
"Annual Survey of School System Finance","Arkansas","2015","SST","Revenue from state sources Total (%)","State and Local ","77.0"
"Annual Survey of School System Finance","Arkansas","2016","SST","Revenue from state sources Total (%)","State and Local ","76.6"
"Annual Survey of School System Finance","Arkansas","2017","SST","Revenue from state sources Total (%)","State and Local ","75.8"
"Annual Survey of School System Finance","Arkansas","2018","SST","Revenue from state sources Total (%)","State and Local ","76.0"
"Annual Survey of School System Finance","Arkansas","2012","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
